,state,county,poverty_percent_15,median_household_income_15
363,FL,Jefferson County,19.4,"42,210"
364,FL,Lafayette County,23.8,"40,345"
365,FL,Lake County,12.8,"49,711"
366,FL,Lee County,15.9,"50,713"
367,FL,Leon County,21.8,"46,405"
368,FL,Levy County,22.1,"36,005"
369,FL,Liberty County,22.6,"39,623"
370,FL,Madison County,27.0,"34,360"
371,FL,Manatee County,14.8,"50,728"
372,FL,Marion County,18.7,"40,053"
373,FL,Martin County,11.2,"53,459"
374,FL,Miami-Dade County,20.0,"43,687"
375,FL,Monroe County,11.3,"58,332"
376,FL,Nassau County,10.8,"55,707"
377,FL,Okaloosa County,11.3,"55,391"
378,FL,Okeechobee County,23.2,"35,787"
379,FL,Orange County,15.6,"50,593"
380,FL,Osceola County,18.5,"45,127"
381,FL,Palm Beach County,13.5,"56,638"
382,FL,Pasco County,14.6,"46,080"
383,FL,Pinellas County,13.6,"47,591"
384,FL,Polk County,17.3,"44,024"
385,FL,Putnam County,27.3,"32,351"
386,FL,St. Johns County,9.8,"71,896"
387,FL,St. Lucie County,16.4,"45,918"
388,FL,Santa Rosa County,12.3,"59,289"
389,FL,Sarasota County,9.7,"55,882"
390,FL,Seminole County,11.5,"57,357"
391,FL,Sumter County,10.1,"54,592"
392,FL,Suwannee County,23.6,"37,368"
393,FL,Taylor County,21.2,"39,116"
394,FL,Union County,26.2,"41,078"
395,FL,Volusia County,16.3,"42,334"
396,FL,Wakulla County,16.5,"48,703"
397,FL,Walton County,14.8,"47,875"
398,FL,Washington County,24.8,"36,328"
399,GA,Georgia,17.2,"51,225"
400,GA,Appling County,22.5,"39,588"
401,GA,Atkinson County,26.9,"32,398"
402,GA,Bacon County,23.9,"35,431"
403,GA,Baker County,28.7,"34,455"
404,GA,Baldwin County,26.0,"38,015"
405,GA,Banks County,15.8,"44,146"
406,GA,Barrow County,15.6,"53,789"
407,GA,Bartow County,13.6,"50,900"
408,GA,Ben Hill County,32.5,"30,776"
409,GA,Berrien County,25.5,"35,518"
410,GA,Bibb County,26.7,"38,870"
411,GA,Bleckley County,19.3,"42,716"
412,GA,Brantley County,21.6,"37,709"
413,GA,Brooks County,25.4,"36,820"
414,GA,Bryan County,13.1,"69,650"
415,GA,Bulloch County,29.9,"36,544"
416,GA,Burke County,25.1,"36,977"
417,GA,Butts County,19.0,"44,166"
418,GA,Calhoun County,37.5,"30,972"
419,GA,Camden County,13.6,"52,706"
420,GA,Candler County,28.1,"32,806"
421,GA,Carroll County,20.4,"45,453"
422,GA,Catoosa County,13.1,"50,979"
423,GA,Charlton County,32.5,"37,037"
424,GA,Chatham County,17.8,"48,885"
425,GA,Chattahoochee County,21.0,"41,066"
426,GA,Chattooga County,20.4,"38,063"
427,GA,Cherokee County,9.4,"74,885"
428,GA,Clarke County,38.1,"33,302"
429,GA,Clay County,34.3,"25,941"
430,GA,Clayton County,23.3,"41,731"
431,GA,Clinch County,28.2,"31,848"
432,GA,Cobb County,11.4,"70,097"
433,GA,Coffee County,22.6,"34,775"
434,GA,Colquitt County,24.1,"34,151"
435,GA,Columbia County,9.3,"75,232"
436,GA,Cook County,24.1,"34,505"
437,GA,Coweta County,10.9,"67,268"
438,GA,Crawford County,20.6,"43,559"
439,GA,Crisp County,32.3,"31,095"
440,GA,Dade County,16.2,"43,632"
441,GA,Dawson County,12.1,"60,195"
442,GA,Decatur County,27.3,"37,661"
443,GA,DeKalb County,17.8,"53,994"
444,GA,Dodge County,24.8,"34,611"
445,GA,Dooly County,33.8,"32,323"
446,GA,Dougherty County,29.4,"34,799"
447,GA,Douglas County,14.1,"58,443"
448,GA,Early County,26.5,"31,935"
449,GA,Echols County,25.9,"34,414"
450,GA,Effingham County,11.4,"63,255"
451,GA,Elbert County,23.7,"35,814"
452,GA,Emanuel County,27.0,"31,772"
453,GA,Evans County,27.4,"34,085"
454,GA,Fannin County,17.4,"39,796"
455,GA,Fayette County,7.0,"80,588"
456,GA,Floyd County,19.6,"41,130"
457,GA,Forsyth County,6.3,"97,886"
458,GA,Franklin County,21.9,"40,156"
459,GA,Fulton County,16.0,"59,911"
460,GA,Gilmer County,16.9,"43,907"
461,GA,Glascock County,17.8,"40,732"
462,GA,Glynn County,18.2,"46,377"
463,GA,Gordon County,18.1,"44,580"
464,GA,Grady County,29.3,"36,486"
465,GA,Greene County,21.2,"43,326"
466,GA,Gwinnett County,12.6,"61,797"
467,GA,Habersham County,16.6,"44,400"
468,GA,Hall County,16.9,"54,578"
