,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
89,Massachusetts,MA,14394.0,42.27687047000046,-72.08269067499964,23.3
90,Michigan,MI,10579.0,44.661319543000495,-84.71439026999968,31.3
91,Michigan,MI,10052.0,44.661319543000495,-84.71439026999968,31.1
92,Michigan,MI,12177.0,44.661319543000495,-84.71439026999968,31.5
93,Michigan,MI,8024.0,44.661319543000495,-84.71439026999968,30.7
94,Minnesota,MN,14387.0,46.35564873600049,-94.79420050299969,25.7
95,Minnesota,MN,13450.0,46.35564873600049,-94.79420050299969,25.5
96,Minnesota,MN,11429.0,46.35564873600049,-94.79420050299969,25.7
97,Mississippi,MS,7032.0,32.74551009900045,-89.5380308249997,35.1
98,Minnesota,MN,15309.0,46.35564873600049,-94.79420050299969,27.6
99,Mississippi,MS,8504.0,32.74551009900045,-89.5380308249997,34.9
100,Mississippi,MS,7429.0,32.74551009900045,-89.5380308249997,34.6
101,Missouri,MO,6095.0,38.635790776000476,-92.5663000529997,30.3
102,Mississippi,MS,3975.0,32.74551009900045,-89.5380308249997,35.5
103,Missouri,MO,6446.0,38.635790776000476,-92.5663000529997,29.6
104,Missouri,MO,6783.0,38.635790776000476,-92.5663000529997,30.4
105,Missouri,MO,6695.0,38.635790776000476,-92.5663000529997,30.2
106,Montana,MT,9882.0,47.06652897200046,-109.42442064499971,24.6
107,Montana,MT,8357.0,47.06652897200046,-109.42442064499971,24.3
108,Montana,MT,9323.0,47.06652897200046,-109.42442064499971,24.6
109,Montana,MT,7064.0,47.06652897200046,-109.42442064499971,26.4
110,National,US,470700.0,,,27.4
111,National,US,442230.0,,,27.7
112,National,US,457487.0,,,28.3
113,National,US,425875.0,,,28.9
114,Nebraska,NE,24366.0,41.6410409880005,-99.36572062299969,28.4
115,Nebraska,NE,18385.0,41.6410409880005,-99.36572062299969,28.6
116,Nebraska,NE,16250.0,41.6410409880005,-99.36572062299969,29.6
117,Nebraska,NE,21130.0,41.6410409880005,-99.36572062299969,30.2
118,Nevada,NV,5205.0,39.493240390000494,-117.07184056399969,24.5
119,Nevada,NV,4592.0,39.493240390000494,-117.07184056399969,26.2
120,Nevada,NV,4871.0,39.493240390000494,-117.07184056399969,26.2
121,Nevada,NV,3555.0,39.493240390000494,-117.07184056399969,27.7
122,New Hampshire,NH,6049.0,43.65595011300047,-71.50036091999965,26.2
123,New Hampshire,NH,7182.0,43.65595011300047,-71.50036091999965,27.3
124,New Hampshire,NH,6141.0,43.65595011300047,-71.50036091999965,26.7
125,New Hampshire,NH,5730.0,43.65595011300047,-71.50036091999965,27.4
126,New Jersey,NJ,14130.0,40.13057004800049,-74.27369128799967,23.7
127,New Jersey,NJ,14477.0,40.13057004800049,-74.27369128799967,24.6
128,New Jersey,NJ,12256.0,40.13057004800049,-74.27369128799967,26.3
129,New Jersey,NJ,11955.0,40.13057004800049,-74.27369128799967,26.9
130,New Mexico,NM,8981.0,34.52088095200048,-106.2405809849997,26.3
