STATE NAME,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
NEBRASKA,99 - LEGITIMATE SKIP,0.005,0.0002,0.005,0.005,0.006,0.0002,0.005,0.006,0.862,0.0104,0.84,0.881,1348000,52000
INDIANA,Overall,0.02,0.0008,0.019,0.022,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,5521000,217000
SOUTH CAROLINA,Overall,0.015,0.0008,0.014,0.017,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,4166000,205000
CALIFORNIA,97 - REFUSED,0,0,0,0,0.309,0.1652,0.089,0.671,0.001,0.0004,0,0.002,17000,12000
OREGON,1 - Yes,0.002,0.0002,0.002,0.002,0.018,0.0013,0.016,0.021,0.165,0.0113,0.144,0.188,578000,42000
DELAWARE,2 - No,0,0,0,0,0.002,0.0006,0.002,0.004,0.025,0.0054,0.016,0.038,20000,5000
ALABAMA,Overall,0.015,0.0007,0.014,0.016,0.015,0.0007,0.014,0.016,1,0,N/A,N/A,4071000,181000
KENTUCKY,94 - DON T KNOW,0,0,0,0,0.002,0.0017,0,0.012,0,0.0001,0,0,0,0
ARIZONA,98 - BLANK,0,0.0001,0,0.001,0.046,0.0114,0.028,0.074,0.016,0.0039,0.01,0.026,91000,23000
LOUISIANA,Overall,0.014,0.0005,0.013,0.015,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,3834000,141000
COLORADO,Overall,0.017,0.0008,0.016,0.019,0.017,0.0008,0.016,0.019,1,0,N/A,N/A,4647000,205000
NEW HAMPSHIRE,99 - LEGITIMATE SKIP,0.003,0.0002,0.003,0.004,0.004,0.0002,0.004,0.004,0.787,0.0131,0.76,0.812,911000,40000
IOWA,94 - DON T KNOW,0,0,0,0,0.029,0.0214,0.007,0.117,0.002,0.0012,0,0.007,4000,3000
MASSACHUSETTS,Overall,0.022,0.0009,0.02,0.024,0.022,0.0009,0.02,0.024,1,0,N/A,N/A,5876000,259000
WYOMING,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,479000,19000
MONTANA,2 - No,0,0,0,0,0.004,0.0007,0.003,0.006,0.039,0.0064,0.028,0.054,34000,6000
FLORIDA,Overall,0.065,0.0017,0.062,0.069,0.065,0.0017,0.062,0.069,1,0,N/A,N/A,17727000,484000
WEST VIRGINIA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
HAWAII,98 - BLANK,0,0,0,0,0.007,0.0014,0.005,0.01,0.012,0.0023,0.008,0.017,13000,3000
NEVADA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MASSACHUSETTS,1 - Yes,0.003,0.0003,0.002,0.003,0.024,0.0023,0.02,0.029,0.128,0.0113,0.108,0.152,753000,73000
MAINE,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1157000,43000
HAWAII,99 - LEGITIMATE SKIP,0.004,0.0002,0.003,0.004,0.004,0.0002,0.004,0.005,0.872,0.0126,0.846,0.895,1011000,47000
PENNSYLVANIA,97 - REFUSED,0,0,0,0,0.026,0.0265,0.003,0.172,0,0.0001,0,0.001,1000,1000
NORTH CAROLINA,97 - REFUSED,0,0,0,0,0.181,0.1185,0.044,0.515,0.001,0.0009,0,0.005,10000,7000
MARYLAND,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
LOUISIANA,2 - No,0,0.0001,0,0.001,0.013,0.0023,0.01,0.019,0.029,0.0047,0.021,0.04,112000,19000
